NUTS1;NUTS2;SEX;GIVEN_NAME;NUMBER;REF_YEAR
AT3;AT33;1;Jakob;109;2018
AT3;AT33;1;Maximilian;86;2018
AT3;AT33;1;David;82;2018
AT3;AT33;1;Felix;81;2018
AT3;AT33;1;Elias;79;2018
AT3;AT33;1;Lukas;79;2018
AT3;AT33;1;Paul;79;2018
AT3;AT33;1;Alexander;69;2018
AT3;AT33;1;Matteo;64;2018
AT3;AT33;1;Tobias;63;2018
AT3;AT33;1;Julian;62;2018
AT3;AT33;1;Raphael;61;2018
AT3;AT33;1;Samuel;61;2018
AT3;AT33;1;Simon;58;2018
AT3;AT33;1;Leo;57;2018
AT3;AT33;1;Luca;55;2018
AT3;AT33;1;Moritz;55;2018
AT3;AT33;1;Luis;53;2018
AT3;AT33;1;Leon;52;2018
AT3;AT33;1;Matthias;51;2018
AT3;AT33;1;Noah;48;2018
AT3;AT33;1;Jonas;45;2018
AT3;AT33;1;Sebastian;45;2018
AT3;AT33;1;Fabian;42;2018
AT3;AT33;1;Florian;42;2018
AT3;AT33;1;Johannes;42;2018
AT3;AT33;1;Philipp;41;2018
AT3;AT33;1;Ben;36;2018
AT3;AT33;1;Anton;35;2018
AT3;AT33;1;Max;35;2018
AT3;AT33;1;Andreas;32;2018
AT3;AT33;1;Gabriel;32;2018
AT3;AT33;1;Daniel;31;2018
AT3;AT33;1;Dominik;31;2018
AT3;AT33;1;Benjamin;30;2018
AT3;AT33;1;Manuel;30;2018
AT3;AT33;1;Emil;29;2018
AT3;AT33;1;Lorenz;29;2018
AT3;AT33;1;Valentin;27;2018
AT3;AT33;1;Liam;25;2018
AT3;AT33;1;Finn;24;2018
AT3;AT33;1;Vincent;24;2018
AT3;AT33;1;Kilian;23;2018
AT3;AT33;1;Fabio;21;2018
AT3;AT33;1;Josef;21;2018
AT3;AT33;1;Adam;20;2018
AT3;AT33;1;Michael;20;2018
AT3;AT33;1;Adrian;19;2018
AT3;AT33;1;Nico;19;2018
AT3;AT33;1;Thomas;19;2018
AT3;AT33;1;Eliah;17;2018
AT3;AT33;1;Levi;17;2018
AT3;AT33;1;Martin;17;2018
AT3;AT33;1;Leonhard;15;2018
AT3;AT33;1;Noel;15;2018
AT3;AT33;1;Theo;15;2018
AT3;AT33;1;Laurin;14;2018
AT3;AT33;1;Xaver;13;2018
AT3;AT33;1;Benedikt;12;2018
AT3;AT33;1;Julius;12;2018
AT3;AT33;1;Niklas;12;2018
AT3;AT33;1;Arthur;11;2018
AT3;AT33;1;Clemens;11;2018
AT3;AT33;1;Emanuel;11;2018
AT3;AT33;1;Konstantin;11;2018
AT3;AT33;1;Marcel;11;2018
AT3;AT33;1;Patrick;11;2018
AT3;AT33;1;Peter;11;2018
AT3;AT33;1;Aaron;10;2018
AT3;AT33;1;Christian;10;2018
AT3;AT33;1;Hannes;10;2018
AT3;AT33;1;Jonathan;10;2018
AT3;AT33;1;Linus;10;2018
AT3;AT33;1;Oliver;10;2018
AT3;AT33;1;Oskar;10;2018
AT3;AT33;1;Stefan;10;2018
AT3;AT33;1;Yusuf;10;2018
AT3;AT33;1;Alessandro;9;2018
AT3;AT33;1;Georg;9;2018
AT3;AT33;1;Leopold;9;2018
AT3;AT33;1;Mario;9;2018
AT3;AT33;1;Toni;9;2018
AT3;AT33;1;Ali;8;2018
AT3;AT33;1;Emilian;8;2018
AT3;AT33;1;Franz;8;2018
AT3;AT33;1;Hamza;8;2018
AT3;AT33;1;Henri;8;2018
AT3;AT33;1;Johann;8;2018
AT3;AT33;1;Lenny;8;2018
AT3;AT33;1;Markus;8;2018
AT3;AT33;1;Theodor;8;2018
AT3;AT33;1;Alessio;7;2018
AT3;AT33;1;Alois;7;2018
AT3;AT33;1;Armin;7;2018
AT3;AT33;1;Christoph;7;2018
AT3;AT33;1;Damian;7;2018
AT3;AT33;1;Emir;7;2018
AT3;AT33;1;Eymen;7;2018
AT3;AT33;1;Jamie;7;2018
AT3;AT33;1;Jonah;7;2018
AT3;AT33;2;Sophia;104;2018
AT3;AT33;2;Anna;99;2018
AT3;AT33;2;Emma;83;2018
AT3;AT33;2;Hannah;81;2018
AT3;AT33;2;Laura;70;2018
AT3;AT33;2;Lena;59;2018
AT3;AT33;2;Valentina;58;2018
AT3;AT33;2;Marie;57;2018
AT3;AT33;2;Johanna;56;2018
AT3;AT33;2;Emilia;55;2018
AT3;AT33;2;Sarah;54;2018
AT3;AT33;2;Mia;52;2018
AT3;AT33;2;Greta;51;2018
AT3;AT33;2;Lea;47;2018
AT3;AT33;2;Lina;47;2018
AT3;AT33;2;Leonie;45;2018
AT3;AT33;2;Eva;41;2018
AT3;AT33;2;Sophie;40;2018
AT3;AT33;2;Lara;39;2018
AT3;AT33;2;Klara;38;2018
AT3;AT33;2;Ella;36;2018
AT3;AT33;2;Leni;36;2018
AT3;AT33;2;Elena;35;2018
AT3;AT33;2;Magdalena;35;2018
AT3;AT33;2;Theresa;35;2018
AT3;AT33;2;Luisa;34;2018
AT3;AT33;2;Katharina;31;2018
AT3;AT33;2;Nora;31;2018
AT3;AT33;2;Julia;30;2018
AT3;AT33;2;Amelie;28;2018
AT3;AT33;2;Helena;28;2018
AT3;AT33;2;Emily;26;2018
AT3;AT33;2;Maria;26;2018
AT3;AT33;2;Ida;25;2018
AT3;AT33;2;Olivia;25;2018
AT3;AT33;2;Rosa;25;2018
AT3;AT33;2;Paula;24;2018
AT3;AT33;2;Elisa;23;2018
AT3;AT33;2;Alina;22;2018
AT3;AT33;2;Flora;20;2018
AT3;AT33;2;Isabella;20;2018
AT3;AT33;2;Selina;20;2018
AT3;AT33;2;Linda;18;2018
AT3;AT33;2;Lisa;18;2018
AT3;AT33;2;Antonia;17;2018
AT3;AT33;2;Melina;17;2018
AT3;AT33;2;Mila;17;2018
AT3;AT33;2;Viktoria;17;2018
AT3;AT33;2;Anna-Lena;16;2018
AT3;AT33;2;Lia;16;2018
AT3;AT33;2;Lilly;16;2018
AT3;AT33;2;Melissa;16;2018
AT3;AT33;2;Mona;16;2018
AT3;AT33;2;Frida;15;2018
AT3;AT33;2;Maja;15;2018
AT3;AT33;2;Matilda;15;2018
AT3;AT33;2;Miriam;15;2018
AT3;AT33;2;Nina;15;2018
AT3;AT33;2;Elisabeth;14;2018
AT3;AT33;2;Maya;14;2018
AT3;AT33;2;Lorena;13;2018
AT3;AT33;2;Mara;13;2018
AT3;AT33;2;Paulina;13;2018
AT3;AT33;2;Vanessa;13;2018
AT3;AT33;2;Franziska;12;2018
AT3;AT33;2;Heidi;12;2018
AT3;AT33;2;Elina;11;2018
AT3;AT33;2;Jana;11;2018
AT3;AT33;2;Jasmin;11;2018
AT3;AT33;2;Mathilda;11;2018
AT3;AT33;2;Alma;10;2018
AT3;AT33;2;Fabienne;10;2018
AT3;AT33;2;Frieda;10;2018
AT3;AT33;2;Rosalie;10;2018
AT3;AT33;2;Charlotte;9;2018
AT3;AT33;2;Diana;9;2018
AT3;AT33;2;Livia;9;2018
AT3;AT33;2;Marina;9;2018
AT3;AT33;2;Pia;9;2018
AT3;AT33;2;Stella;9;2018
AT3;AT33;2;Zeynep;9;2018
AT3;AT33;2;Aurelia;8;2018
AT3;AT33;2;Ilvy;8;2018
AT3;AT33;2;Liya;8;2018
AT3;AT33;2;Marlena;8;2018
AT3;AT33;2;Martha;8;2018
AT3;AT33;2;Ronja;8;2018
AT3;AT33;2;Sina;8;2018
AT3;AT33;2;Alice;7;2018
AT3;AT33;2;Amalia;7;2018
AT3;AT33;2;Carla;7;2018
AT3;AT33;2;Chiara;7;2018
AT3;AT33;2;Christina;7;2018
AT3;AT33;2;Fiona;7;2018
AT3;AT33;2;Marlene;7;2018
AT3;AT33;2;Victoria;7;2018
AT3;AT33;2;Angelina;6;2018
AT3;AT33;2;Carina;6;2018
AT3;AT33;2;Carolina;6;2018
AT3;AT33;2;Defne;6;2018
AT3;AT33;1;Anna;47;2017
AT3;AT33;1;Emma;47;2017
AT3;AT33;1;Lukas;45;2017
AT3;AT33;1;Jakob;44;2017
AT3;AT33;1;Tobias;43;2017
AT3;AT33;1;Maximilian;42;2017
AT3;AT33;1;Paul;42;2017
AT3;AT33;1;Felix;40;2017
AT3;AT33;1;Raphael;40;2017
AT3;AT33;1;David;39;2017
AT3;AT33;1;Elias;39;2017
AT3;AT33;1;Lea;39;2017
AT3;AT33;1;Hannah;38;2017
AT3;AT33;1;Simon;37;2017
AT3;AT33;1;Johannes;35;2017
AT3;AT33;1;Samuel;34;2017
AT3;AT33;1;Jonas;33;2017
AT3;AT33;1;Lena;33;2017
AT3;AT33;1;Luis;33;2017
AT3;AT33;1;Sophia;32;2017
AT3;AT33;1;Alexander;31;2017
AT3;AT33;1;Fabian;31;2017
AT3;AT33;1;Luca;31;2017
AT3;AT33;1;Moritz;31;2017
AT3;AT33;1;Laura;30;2017
AT3;AT33;1;Lorenz;30;2017
AT3;AT33;1;Emilia;29;2017
AT3;AT33;1;Florian;28;2017
AT3;AT33;1;Leon;28;2017
AT3;AT33;1;Mia;28;2017
AT3;AT33;1;Marie;27;2017
AT3;AT33;1;Matthias;27;2017
AT3;AT33;1;Noah;27;2017
AT3;AT33;1;Julian;25;2017
AT3;AT33;1;Max;24;2017
AT3;AT33;1;Anton;23;2017
AT3;AT33;1;Emil;23;2017
AT3;AT33;1;Matteo;23;2017
AT3;AT33;1;Johanna;22;2017
AT3;AT33;1;Julia;22;2017
AT3;AT33;1;Philipp;22;2017
AT3;AT33;1;Sarah;22;2017
AT3;AT33;1;Eva;21;2017
AT3;AT33;1;Leo;21;2017
AT3;AT33;1;Lara;20;2017
AT3;AT33;1;Rosa;20;2017
AT3;AT33;1;Josef;19;2017
AT3;AT33;1;Leonie;19;2017
AT3;AT33;1;Michael;19;2017
AT3;AT33;1;Paula;19;2017
AT3;AT33;1;Valentina;19;2017
AT3;AT33;1;Amelie;18;2017
AT3;AT33;1;Magdalena;18;2017
AT3;AT33;1;Maria;18;2017
AT3;AT33;1;Gabriel;17;2017
AT3;AT33;1;Greta;17;2017
AT3;AT33;1;Lisa;17;2017
AT3;AT33;1;Alina;16;2017
AT3;AT33;1;Benjamin;16;2017
AT3;AT33;1;Ella;16;2017
AT3;AT33;1;Leni;16;2017
AT3;AT33;1;Luisa;16;2017
AT3;AT33;1;Nina;16;2017
AT3;AT33;1;Antonia;15;2017
AT3;AT33;1;Elena;15;2017
AT3;AT33;1;Jonathan;15;2017
AT3;AT33;1;Klara;15;2017
AT3;AT33;1;Sophie;15;2017
AT3;AT33;1;Theresa;15;2017
AT3;AT33;1;Elisa;14;2017
AT3;AT33;1;Fabio;14;2017
AT3;AT33;1;Katharina;14;2017
AT3;AT33;1;Linda;14;2017
AT3;AT33;1;Sebastian;14;2017
AT3;AT33;1;Valentin;14;2017
AT3;AT33;1;Andreas;13;2017
AT3;AT33;1;Daniel;13;2017
AT3;AT33;1;Lorena;13;2017
AT3;AT33;1;Selina;13;2017
AT3;AT33;1;Adrian;12;2017
AT3;AT33;1;Anna-Lena;12;2017
AT3;AT33;1;Dominik;12;2017
AT3;AT33;1;Finn;12;2017
AT3;AT33;1;Hannes;12;2017
AT3;AT33;1;Vincent;12;2017
AT3;AT33;1;Elina;11;2017
AT3;AT33;1;Ida;11;2017
AT3;AT33;1;Kilian;11;2017
AT3;AT33;1;Lilly;11;2017
AT3;AT33;1;Linus;11;2017
AT3;AT33;1;Manuel;11;2017
AT3;AT33;1;Matilda;11;2017
AT3;AT33;1;Niklas;11;2017
AT3;AT33;1;Nora;11;2017
AT3;AT33;1;Ben;10;2017
AT3;AT33;1;Eliah;10;2017
AT3;AT33;1;Jana;10;2017
AT3;AT33;1;Marco;10;2017
AT3;AT33;1;Olivia;10;2017
AT3;AT33;1;Rosalie;10;2017
AT3;AT33;2;Sophia;50;2017
AT3;AT33;2;Anna;47;2017
AT3;AT33;2;Maximilian;47;2017
AT3;AT33;2;Paul;44;2017
AT3;AT33;2;Emma;43;2017
AT3;AT33;2;Felix;42;2017
AT3;AT33;2;Simon;42;2017
AT3;AT33;2;David;40;2017
AT3;AT33;2;Elias;38;2017
AT3;AT33;2;Hannah;38;2017
AT3;AT33;2;Lukas;36;2017
AT3;AT33;2;Jakob;35;2017
AT3;AT33;2;Jonas;34;2017
AT3;AT33;2;Sarah;33;2017
AT3;AT33;2;Alexander;30;2017
AT3;AT33;2;Leon;30;2017
AT3;AT33;2;Luis;30;2017
AT3;AT33;2;Tobias;30;2017
AT3;AT33;2;Mia;29;2017
AT3;AT33;2;Raphael;29;2017
AT3;AT33;2;Sophie;29;2017
AT3;AT33;2;Florian;28;2017
AT3;AT33;2;Marie;28;2017
AT3;AT33;2;Samuel;28;2017
AT3;AT33;2;Valentina;28;2017
AT3;AT33;2;Laura;27;2017
AT3;AT33;2;Leonie;27;2017
AT3;AT33;2;Lea;26;2017
AT3;AT33;2;Lena;26;2017
AT3;AT33;2;Matteo;26;2017
AT3;AT33;2;Matthias;26;2017
AT3;AT33;2;Rosa;25;2017
AT3;AT33;2;Daniel;24;2017
AT3;AT33;2;Theresa;24;2017
AT3;AT33;2;Luca;23;2017
AT3;AT33;2;Philipp;23;2017
AT3;AT33;2;Emilia;22;2017
AT3;AT33;2;Leo;22;2017
AT3;AT33;2;Noah;22;2017
AT3;AT33;2;Eva;21;2017
AT3;AT33;2;Johannes;21;2017
AT3;AT33;2;Julian;21;2017
AT3;AT33;2;Sebastian;21;2017
AT3;AT33;2;Anton;20;2017
AT3;AT33;2;Fabian;20;2017
AT3;AT33;2;Niklas;20;2017
AT3;AT33;2;Andreas;19;2017
AT3;AT33;2;Johanna;19;2017
AT3;AT33;2;Lina;19;2017
AT3;AT33;2;Lorenz;19;2017
AT3;AT33;2;Moritz;19;2017
AT3;AT33;2;Greta;18;2017
AT3;AT33;2;Julia;18;2017
AT3;AT33;2;Katharina;18;2017
AT3;AT33;2;Paula;18;2017
AT3;AT33;2;Elena;17;2017
AT3;AT33;2;Fabio;17;2017
AT3;AT33;2;Amelie;16;2017
AT3;AT33;2;Josef;16;2017
AT3;AT33;2;Lara;16;2017
AT3;AT33;2;Marcel;16;2017
AT3;AT33;2;Nico;16;2017
AT3;AT33;2;Ben;15;2017
AT3;AT33;2;Manuel;15;2017
AT3;AT33;2;Maria;15;2017
AT3;AT33;2;Gabriel;14;2017
AT3;AT33;2;Jana;14;2017
AT3;AT33;2;Klara;14;2017
AT3;AT33;2;Liam;14;2017
AT3;AT33;2;Ella;13;2017
AT3;AT33;2;Luisa;13;2017
AT3;AT33;2;Magdalena;13;2017
AT3;AT33;2;Michael;13;2017
AT3;AT33;2;Olivia;13;2017
AT3;AT33;2;Antonia;12;2017
AT3;AT33;2;Elisa;12;2017
AT3;AT33;2;Leni;12;2017
AT3;AT33;2;Levi;12;2017
AT3;AT33;2;Lorena;12;2017
AT3;AT33;2;Nora;12;2017
AT3;AT33;2;Selina;12;2017
AT3;AT33;2;Valentin;12;2017
AT3;AT33;2;Benjamin;11;2017
AT3;AT33;2;Eliah;11;2017
AT3;AT33;2;Emily;11;2017
AT3;AT33;2;Franziska;11;2017
AT3;AT33;2;Lia;11;2017
AT3;AT33;2;Adrian;10;2017
AT3;AT33;2;Alina;10;2017
AT3;AT33;2;Emil;10;2017
AT3;AT33;2;Linda;10;2017
AT3;AT33;2;Max;10;2017
AT3;AT33;2;Thomas;10;2017
AT3;AT33;2;Dominik;9;2017
AT3;AT33;2;Ida;9;2017
AT3;AT33;2;Lisa;9;2017
AT3;AT33;2;Maya;9;2017
AT3;AT33;2;Nina;9;2017
AT3;AT33;2;Peter;9;2017
AT3;AT33;2;Stefan;9;2017
AT3;AT33;1;Anna;68;2016
AT3;AT33;1;Elias;60;2016
AT3;AT33;1;Maximilian;52;2016
AT3;AT33;1;Emma;48;2016
AT3;AT33;1;Hannah;43;2016
AT3;AT33;1;Paul;43;2016
AT3;AT33;1;Raphael;43;2016
AT3;AT33;1;Laura;42;2016
AT3;AT33;1;Sophia;42;2016
AT3;AT33;1;David;39;2016
AT3;AT33;1;Simon;38;2016
AT3;AT33;1;Felix;37;2016
AT3;AT33;1;Lena;37;2016
AT3;AT33;1;Mia;37;2016
AT3;AT33;1;Tobias;36;2016
AT3;AT33;1;Matteo;34;2016
AT3;AT33;1;Matthias;34;2016
AT3;AT33;1;Samuel;34;2016
AT3;AT33;1;Alexander;33;2016
AT3;AT33;1;Marie;33;2016
AT3;AT33;1;Noah;33;2016
AT3;AT33;1;Emilia;32;2016
AT3;AT33;1;Lara;32;2016
AT3;AT33;1;Lea;31;2016
AT3;AT33;1;Lukas;30;2016
AT3;AT33;1;Sarah;30;2016
AT3;AT33;1;Fabian;29;2016
AT3;AT33;1;Leon;29;2016
AT3;AT33;1;Luis;29;2016
AT3;AT33;1;Leo;28;2016
AT3;AT33;1;Valentina;28;2016
AT3;AT33;1;Jakob;27;2016
AT3;AT33;1;Sophie;26;2016
AT3;AT33;1;Florian;25;2016
AT3;AT33;1;Moritz;25;2016
AT3;AT33;1;Philipp;25;2016
AT3;AT33;1;Jonas;24;2016
AT3;AT33;1;Leonie;24;2016
AT3;AT33;1;Julian;23;2016
AT3;AT33;1;Max;23;2016
AT3;AT33;1;Gabriel;21;2016
AT3;AT33;1;Lorenz;21;2016
AT3;AT33;1;Sebastian;20;2016
AT3;AT33;1;Anton;19;2016
AT3;AT33;1;Daniel;19;2016
AT3;AT33;1;Eva;19;2016
AT3;AT33;1;Julia;19;2016
AT3;AT33;1;Benjamin;18;2016
AT3;AT33;1;Ella;18;2016
AT3;AT33;1;Greta;18;2016
AT3;AT33;1;Michael;18;2016
AT3;AT33;1;Theresa;18;2016
AT3;AT33;1;Valentin;18;2016
AT3;AT33;1;Dominik;17;2016
AT3;AT33;1;Lina;17;2016
AT3;AT33;1;Luisa;17;2016
AT3;AT33;1;Ben;16;2016
AT3;AT33;1;Jana;16;2016
AT3;AT33;1;Johanna;16;2016
AT3;AT33;1;Luca;16;2016
AT3;AT33;1;Niklas;16;2016
AT3;AT33;1;Nina;16;2016
AT3;AT33;1;Isabella;15;2016
AT3;AT33;1;Katharina;15;2016
AT3;AT33;1;Klara;15;2016
AT3;AT33;1;Linda;15;2016
AT3;AT33;1;Maria;15;2016
AT3;AT33;1;Nora;15;2016
AT3;AT33;1;Elena;14;2016
AT3;AT33;1;Johannes;14;2016
AT3;AT33;1;Magdalena;14;2016
AT3;AT33;1;Nico;14;2016
AT3;AT33;1;Adrian;13;2016
AT3;AT33;1;Josef;13;2016
AT3;AT33;1;Lilly;13;2016
AT3;AT33;1;Lorena;13;2016
AT3;AT33;1;Liam;12;2016
AT3;AT33;1;Mona;12;2016
AT3;AT33;1;Paula;12;2016
AT3;AT33;1;Rosa;12;2016
AT3;AT33;1;Andreas;11;2016
AT3;AT33;1;Anna-Lena;11;2016
AT3;AT33;1;Linus;11;2016
AT3;AT33;1;Lisa;11;2016
AT3;AT33;1;Martin;11;2016
AT3;AT33;1;Thomas;11;2016
AT3;AT33;1;Alina;10;2016
AT3;AT33;1;Miriam;10;2016
AT3;AT33;1;Vincent;10;2016
AT3;AT33;1;Antonia;9;2016
AT3;AT33;1;Elina;9;2016
AT3;AT33;1;Franziska;9;2016
AT3;AT33;1;Helena;9;2016
AT3;AT33;1;Manuel;9;2016
AT3;AT33;1;Marcel;9;2016
AT3;AT33;1;Amelie;8;2016
AT3;AT33;1;Annika;8;2016
