Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
AT;Oberösterreich;AT4S406;48.1649999995,14.035556;O3;EEA Austria;µg/m³;22.989;2021-11-25T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S108;48.5311111095,14.5747222222;PM2.5;EEA Austria;µg/m³;5.02799987;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT31413;48.0838888884,16.3302777778;PM10;EEA Austria;µg/m³;27.0;2021-11-25T10:00:00+01:00;Austria
AT;Salzburg;AT52300;47.6911111106,13.1080555556;PM10;EEA Austria;µg/m³;27.13999938;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT31401;48.0861110995,16.3022222;PM10;EEA Austria;µg/m³;26.0;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60197;46.7783333328,15.5405555556;PM10;EEA Austria;µg/m³;22.54843521;2021-11-25T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S415;48.3233329995,14.2977778;CO;EEA Austria;µg/m³;473.01501;2020-12-30T19:00:00+01:00;Austria
AT;Niederösterreich;AT0PIL1;48.7211111095,15.94222222;O3;EEA Austria;µg/m³;42.463;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT0PIL1;48.7211111095,15.94222222;SO2;EEA Austria;µg/m³;3.48500013;2021-11-25T10:00:00+01:00;Austria
AT;Vorarlberg;AT80503;47.5291999995,9.9267;O3;EEA Austria;µg/m³;80.823;2021-11-25T10:00:00+01:00;Austria
AT;Kärnten;AT2KA21;46.6255599995,14.31806;NO2;EEA Austria;µg/m³;27.57500076;2021-11-25T09:00:00+01:00;Austria
AT;Burgenland;AT10001;47.8399999995,16.52806;O3;EEA Austria;µg/m³;41.954;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT31402;48.1249999995,16.331388;NO2;EEA Austria;µg/m³;7.6491599;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT9KEND;48.2049999995,16.30975;NO2;EEA Austria;µg/m³;17.09185218;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT30403;48.3922222195,16.522666622;O3;EEA Austria;µg/m³;40.108;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT30201;47.9591669995,16.205833;PM2.5;EEA Austria;µg/m³;18.5;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT30201;47.9591669995,16.205833;PM10;EEA Austria;µg/m³;23.0;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT900KE;48.1567079995,16.476051;NO2;EEA Austria;µg/m³;13.55650711;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60118;47.1783333328,14.6766666667;PM10;EEA Austria;µg/m³;25.10455703;2021-11-25T10:00:00+01:00;Austria
AT;Vorarlberg;AT82801;47.1288639995,10.034324;O3;EEA Austria;µg/m³;15.662;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT9LIES;48.1412499995,16.30127778;PM2.5;EEA Austria;µg/m³;24.49799919;2021-11-25T10:00:00+01:00;Austria
AT;Austria;Wien Belgradplatz;48.1750111647,16.3630823948;NO2;EEA Austria;µg/m³;19.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Graz Don Bosco;47.0555746975,15.4177852213;SO2;EEA Austria;µg/m³;5.0;2016-12-12T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S416;48.2744444435,14.3147222;O3;EEA Austria;µg/m³;21.406;2021-11-25T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S416;48.2744444435,14.3147222;CO;EEA Austria;µg/m³;257.45499;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60177;47.5654389995,14.244676;SO2;EEA Austria;µg/m³;1.8263725;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT90A23;48.2030599995,16.43455;CO;EEA Austria;µg/m³;278.97101;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT31401;48.0861110995,16.3022222;O3;EEA Austria;µg/m³;35.618;2021-11-25T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S173;48.2788888884,14.3658333333;PM10;EEA Austria;µg/m³;24.33149909;2021-11-25T10:00:00+01:00;Austria
AT;Kärnten;AT2KA71;46.6266166661,14.2991444444;SO2;EEA Austria;µg/m³;2.00999999;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT32701;48.1449999995,16.4744444444;O3;EEA Austria;µg/m³;43.5;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60164;47.0556109995,15.416603;NO2;EEA Austria;µg/m³;42.72278594;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT90LOB;48.1620694439,16.5256138889;O3;EEA Austria;µg/m³;41.805;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT32501;48.4086099995,15.619166;SO2;EEA Austria;µg/m³;3.29999995;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT32301;48.2124999995,15.634167;SO2;EEA Austria;µg/m³;0.25;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT30104;48.1783333328,14.5486111111;PM2.5;EEA Austria;µg/m³;20.0;2021-11-25T10:00:00+01:00;Austria
AT;Salzburg;AT51200;47.8172222217,13.0308333333;NO2;EEA Austria;µg/m³;27.15451812;2021-11-25T10:00:00+01:00;Austria
AT;Salzburg;AT51066;47.8055555995,13.043333;O3;EEA Austria;µg/m³;10.476;2021-11-25T10:00:00+01:00;Austria
AT;Tirol;AT72223;47.2395527995,11.390653;PM10;EEA Austria;µg/m³;36.55750274;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT30065;48.1958349995,16.143612;O3;EEA Austria;µg/m³;31.428;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT30403;48.3922222195,16.522666622;NO2;EEA Austria;µg/m³;7.84038877;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60179;47.2828599995,15.971852;PM10;EEA Austria;µg/m³;35.29496765;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT90LAA;48.1610363884,16.3929202778;O3;EEA Austria;µg/m³;6.053;2020-12-10T19:00:00+01:00;Austria
AT;Tirol;AT72822;47.3499916995,11.6945417;NO2;EEA Austria;µg/m³;2.89699983;2021-04-24T13:00:00+02:00;Austria
AT;Niederösterreich;AT31904;48.2763888884,15.935;PM10;EEA Austria;µg/m³;20.0;2020-12-04T09:00:00+01:00;Austria
AT;Amt der Steierm�rkischen Landesregierung;Liezen Alte Gasse 8;47.5672222217,14.2436111111;O3;EEA Austria;µg/m³;0.0;2017-07-20T21:00:00+02:00;Austria
AT;Austria;Graz Mitte Gries;47.0691596333,15.4317091082;PM10;EEA Austria;µg/m³;60.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Spittal a.d.Drau Oktoberstrasse;46.8016611483,13.4955701764;O3;EEA Austria;µg/m³;2.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Wien Kendlerstraße;48.2055535272,16.3105309507;NO2;EEA Austria;µg/m³;15.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Graz Nord;47.0955241068,15.4141919602;NO2;EEA Austria;µg/m³;73.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Hartberg Zentrum;47.2827572544,15.9719559201;O3;EEA Austria;µg/m³;28.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Bockberg;46.8730674222,15.4950403358;PM10;EEA Austria;µg/m³;7.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Tulln Leopoldgasse;48.3313633254,16.0594518288;NO2;EEA Austria;µg/m³;22.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Streithofen im Tullnerfeld;48.2766884716,15.9361131403;O3;EEA Austria;µg/m³;43.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Dornbirn Stadtstraße;47.4108196241,9.7442055499;NO2;EEA Austria;µg/m³;63.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Judenburg;47.1794241894,14.6774835957;PM10;EEA Austria;µg/m³;4.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Voitsberg Mühlgasse;47.0449858386,15.1499974351;O3;EEA Austria;µg/m³;18.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Grundlsee;47.616684105,13.7966854596;O3;EEA Austria;µg/m³;59.0;2016-12-12T10:00:00+01:00;Austria
AT;Steiermark;AT0KLH1;46.7527527862,15.9566845603;O3;EEA Austria;µg/m³;70.0;2016-12-12T10:00:00+01:00;Austria
AT;Wien;AT90A23;48.2030599995,16.43455;SO2;EEA Austria;µg/m³;5.25805234;2021-11-25T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S173;48.2788888884,14.3658333333;CO;EEA Austria;µg/m³;247.32001;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT30599;48.3082222195,16.3279444;NO2;EEA Austria;µg/m³;25.62468528;2021-11-25T10:00:00+01:00;Austria
AT;Burgenland;AT10001;47.8399999995,16.52806;SO2;EEA Austria;µg/m³;1.11399996;2021-11-25T09:00:00+01:00;Austria
AT;Niederösterreich;AT30902;48.3852769995,16.182222;PM10;EEA Austria;µg/m³;26.5;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT9BELG;48.174353055,16.3614172222;PM2.5;EEA Austria;µg/m³;24.54750061;2021-11-25T10:00:00+01:00;Austria
AT;Salzburg;AT55032;47.1258333328,13.8083333333;NO2;EEA Austria;µg/m³;27.15451812;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT9STAD;48.2263608328,16.458345;PM2.5;EEA Austria;µg/m³;24.38949966;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60185;46.7674999995,15.956111;O3;EEA Austria;µg/m³;29.123;2021-11-25T10:00:00+01:00;Austria
AT;Burgenland;AT0ILL1;47.7702799995,16.76639;O3;EEA Austria;µg/m³;38.512;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60191;47.135555555,15.3236111111;SO2;EEA Austria;µg/m³;0.40024849;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60179;47.2828599995,15.971852;SO2;EEA Austria;µg/m³;2.23193955;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60179;47.2828599995,15.971852;NO2;EEA Austria;µg/m³;21.55222129;2021-11-25T10:00:00+01:00;Austria
AT;Salzburg;AT52100;47.6669999995,13.106;NO2;EEA Austria;µg/m³;18.93167114;2021-11-25T10:00:00+01:00;Austria
AT;Kärnten;AT2M121;46.5569299995,13.70541;SO2;EEA Austria;µg/m³;4.04500007;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT31902;48.3311111106,15.9036111111;NO2;EEA Austria;µg/m³;14.62901782;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT31902;48.3311111106,15.9036111111;PM2.5;EEA Austria;µg/m³;21.5;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT90LAA;48.1610363884,16.3929202778;PM2.5;EEA Austria;µg/m³;21.0550003;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60106;47.0633299995,15.086667;SO2;EEA Austria;µg/m³;1.0255295;2021-11-25T09:00:00+01:00;Austria
AT;Oberösterreich;AT4S409;48.0494444439,14.4427777778;O3;EEA Austria;µg/m³;26.627;2021-11-25T08:00:00+01:00;Austria
AT;Amt der Ober�sterreichischen Landesregierung;Lenzing Winterstrasse;47.9719443995,13.60083333;SO2;EEA Austria;µg/m³;1.22000002;2017-07-20T21:00:00+02:00;Austria
AT;Amt der Steierm�rkischen Landesregierung;Weiz Birkfelder Stra�e;47.2172239995,15.628333;O3;EEA Austria;µg/m³;0.0;2017-07-20T21:00:00+02:00;Austria
AT;Austria;Hallein B159;47.6830699731,13.1019284189;NO2;EEA Austria;µg/m³;89.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Höchst Gemeindeamt;47.4588843935,9.64027047153;NO2;EEA Austria;µg/m³;63.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Annaberg - Joachimsberg;47.8552663493,15.3219349805;O3;EEA Austria;µg/m³;57.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Linz Kleinmünchen;48.2544432597,14.3108811283;NO2;EEA Austria;µg/m³;23.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Voitsberg Mühlgasse;47.0449858386,15.1499974351;PM10;EEA Austria;µg/m³;38.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Kramsach Angerberg;47.4591880767,11.9105826891;O3;EEA Austria;µg/m³;14.0;2016-12-12T10:00:00+01:00;Austria
AT;Oberösterreich;AT0ZOE2;47.8386110995,14.441388889;PM2.5;EEA Austria;µg/m³;1.47000002;2021-11-25T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S416;48.2744444435,14.3147222;PM10;EEA Austria;µg/m³;32.07699966;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT30202;48.1061110995,15.919444444;NO2;EEA Austria;µg/m³;8.60530471;2021-11-25T10:00:00+01:00;Austria
AT;Tirol;AT72227;47.2780699995,11.512497;PM10;EEA Austria;µg/m³;59.83450317;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60178;47.2157029995,15.628392;PM10;EEA Austria;µg/m³;80.20129394;2021-11-25T10:00:00+01:00;Austria
AT;Oberösterreich;AT0ENK1;48.3917199995,13.67114;PM10;EEA Austria;µg/m³;17.44499969;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT32701;48.1449999995,16.4744444444;NO2;EEA Austria;µg/m³;10.13513755;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60195;46.8138888884,15.2127777778;NO2;EEA Austria;µg/m³;11.72082805;2021-11-24T15:00:00+01:00;Austria
AT;Burgenland;AT10003;48.1094443995,17.0713889;O3;EEA Austria;µg/m³;24.165;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60172;47.0692399995,15.431945;NO2;EEA Austria;µg/m³;38.17704772;2021-11-25T10:00:00+01:00;Austria
AT;Kärnten;AT0VOR1;46.6786111106,12.9744444444;CO;EEA Austria;µg/m³;157.72201;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60107;47.0447222217,15.1527777778;NO2;EEA Austria;µg/m³;30.50779724;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT30301;48.1436119995,16.959444;O3;EEA Austria;µg/m³;35.519;2021-11-25T10:00:00+01:00;Austria
AT;Kärnten;AT2WO35;46.7083329995,14.891667;SO2;EEA Austria;µg/m³;2.30999994;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT32301;48.2124999995,15.634167;O3;EEA Austria;µg/m³;10.077;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60156;47.3480599995,15.882222;SO2;EEA Austria;µg/m³;1.87870848;2021-11-25T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S156;48.2577777772,13.0397222222;NO2;EEA Austria;µg/m³;11.31000041;2021-11-25T10:00:00+01:00;Austria
AT;Salzburg;AT0SON1;47.0541666995,12.957777778;NO2;EEA Austria;µg/m³;0.32700157;2021-11-25T10:00:00+01:00;Austria
AT;Kärnten;AT2VL52;46.6953999995,13.91449;O3;EEA Austria;µg/m³;88.84;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT90MBA;48.1883724995,16.3000202778;NO2;EEA Austria;µg/m³;40.42866516;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT9JAEG;48.2701583328,16.2972633333;SO2;EEA Austria;µg/m³;4.51885604;2017-07-20T21:00:00+02:00;Austria
AT;Kärnten;AT2WO15;46.8349999995,14.8436111111;PM2.5;EEA Austria;µg/m³;23.36000061;2021-11-25T10:00:00+01:00;Austria
AT;Kärnten;AT2WO15;46.8349999995,14.8436111111;PM10;EEA Austria;µg/m³;27.97999954;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60036;47.0670111106,15.4936888889;PM10;EEA Austria;µg/m³;24.72444152;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60139;47.0694429995,15.404388;NO2;EEA Austria;µg/m³;37.55379486;2021-11-25T10:00:00+01:00;Austria
AT;Salzburg;AT52100;47.6669999995,13.106;O3;EEA Austria;µg/m³;28.435;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT9LIES;48.1412499995,16.30127778;PM10;EEA Austria;µg/m³;29.61500167;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60106;47.0633299995,15.086667;PM10;EEA Austria;µg/m³;35.00807952;2021-11-25T09:00:00+01:00;Austria
AT;Steiermark;AT60137;47.0591699995,15.016667;O3;EEA Austria;µg/m³;47.413;2021-11-25T03:00:00+01:00;Austria
AT;Austria;Heiterwang;47.447768382,10.7442101242;PM10;EEA Austria;µg/m³;9.0;2016-12-12T09:00:00+01:00;Austria
AT;Austria;Krems;48.4094197901,15.6202654864;NO2;EEA Austria;µg/m³;16.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Leoben Zentrum;47.3830302082,15.0899899742;NO2;EEA Austria;µg/m³;54.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Vösendorf;48.1250261927,16.3316413599;CO;EEA Austria;µg/m³;210.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Gänserndorf;48.3347076441,16.7305831776;PM10;EEA Austria;µg/m³;9.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Vöcklabruck;48.0011129974,13.6680467109;NO2;EEA Austria;µg/m³;12.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Graz Don Bosco;47.0555746975,15.4177852213;NO2;EEA Austria;µg/m³;81.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Steyr;48.0508581903,14.4405978553;SO2;EEA Austria;µg/m³;3.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Steyr;48.0508581903,14.4405978553;PM10;EEA Austria;µg/m³;12.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;St. Veit a.d.Glan Hauptbahnhof;46.7702910806,14.3658580236;PM10;EEA Austria;µg/m³;28.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Zederhaus A10;47.1541397801,13.5050024869;NO2;EEA Austria;µg/m³;13.0;2016-12-12T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S108;48.5311111095,14.5747222222;NO2;EEA Austria;µg/m³;9.0;2021-11-25T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S173;48.2788888884,14.3658333333;SO2;EEA Austria;µg/m³;2.99;2021-11-25T10:00:00+01:00;Austria
AT;Oberösterreich;AT0ENK1;48.3917199995,13.67114;SO2;EEA Austria;µg/m³;1.23000001;2021-11-25T10:00:00+01:00;Austria
AT;Burgenland;AT10003;48.1094443995,17.0713889;PM10;EEA Austria;µg/m³;39.56355285;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT90TAB;48.2167394439,16.3809180556;PM10;EEA Austria;µg/m³;30.51300048;2021-11-25T10:00:00+01:00;Austria
AT;Kärnten;AT0VOR1;46.6786111106,12.9744444444;SO2;EEA Austria;µg/m³;0.39971005;2021-11-25T10:00:00+01:00;Austria
AT;Kärnten;AT0VOR1;46.6786111106,12.9744444444;NO2;EEA Austria;µg/m³;4.62774181;2021-11-25T10:00:00+01:00;Austria
AT;Tirol;AT72123;47.3056221995,11.3759972;O3;EEA Austria;µg/m³;91.761;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT30104;48.1783333328,14.5486111111;NO2;EEA Austria;µg/m³;25.5290718;2021-11-25T10:00:00+01:00;Austria
AT;Kärnten;AT2F202;46.8419999995,14.529;PM10;EEA Austria;µg/m³;13.53499984;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT9GAUD;48.1871469439,16.3393311111;NO2;EEA Austria;µg/m³;24.78996467;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT9GAUD;48.1871469439,16.3393311111;PM2.5;EEA Austria;µg/m³;23.15999984;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT31204;48.2133333328,15.1972222222;O3;EEA Austria;µg/m³;7.084;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT9KEND;48.2049999995,16.30975;PM2.5;EEA Austria;µg/m³;22.96150016;2021-11-25T10:00:00+01:00;Austria
AT;Wien;AT90MBA;48.1883724995,16.3000202778;CO;EEA Austria;µg/m³;350.49301;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT31901;48.3294449995,16.0625;PM10;EEA Austria;µg/m³;36.0;2021-11-25T10:00:00+01:00;Austria
AT;Tirol;AT72315;47.2169471995,10.7357167;PM10;EEA Austria;µg/m³;16.43400001;2021-11-25T10:00:00+01:00;Austria
AT;Burgenland;AT10002;47.3394099995,16.20808;O3;EEA Austria;µg/m³;21.955;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT32604;48.0451111106,14.7722777778;PM10;EEA Austria;µg/m³;18.0;2021-11-25T09:00:00+01:00;Austria
AT;Steiermark;AT60137;47.0591699995,15.016667;NO2;EEA Austria;µg/m³;5.68814897;2021-11-25T03:00:00+01:00;Austria
AT;Austria;Graz West;47.0697103009,15.404130829;PM10;EEA Austria;µg/m³;64.0;2016-12-07T19:00:00+01:00;Austria
AT;Austria;Wolkersdorf;48.3922433173,16.5222638632;O3;EEA Austria;µg/m³;37.0;2016-12-12T09:00:00+01:00;Austria
AT;Austria;Leoben Donawitz;47.3760957723,15.0775033917;SO2;EEA Austria;µg/m³;3.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Krems;48.4094197901,15.6202654864;PM10;EEA Austria;µg/m³;6.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Wien Liesing;48.1380365608,16.2966968953;PM10;EEA Austria;µg/m³;10.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Kufstein Praxmarerstraße;47.5863981913,12.1736094043;NO2;EEA Austria;µg/m³;58.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Kundl A12;47.4689050125,11.9583730622;NO2;EEA Austria;µg/m³;68.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Gratwein;47.1422262873,15.3255282417;SO2;EEA Austria;µg/m³;3.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Lustenau Wiesenrain;47.4108196241,9.65275705398;NO2;EEA Austria;µg/m³;45.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Steyr;48.0508581903,14.4405978553;O3;EEA Austria;µg/m³;43.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Graz Süd Tiergartenweg;47.0419250831,15.4341345595;O3;EEA Austria;µg/m³;2.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Streithofen im Tullnerfeld;48.2766884716,15.9361131403;NO2;EEA Austria;µg/m³;13.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Amstetten;48.1202888808,14.879155377;O3;EEA Austria;µg/m³;39.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Kematen;48.0449729792,14.7722558582;O3;EEA Austria;µg/m³;52.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Fürstenfeld;47.0469446299,16.0789452705;PM10;EEA Austria;µg/m³;28.0;2016-12-12T10:00:00+01:00;Austria
AT;Austria;Arnoldstein Gailitz Waldsiedlungsstraße;46.558898771,13.7049674691;PM10;EEA Austria;µg/m³;15.0;2016-12-12T10:00:00+01:00;Austria
AT;Oberösterreich;AT4S217;48.2094444439,14.4369444444;NO2;EEA Austria;µg/m³;19.25499916;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60197;46.7783333328,15.5405555556;PM2.5;EEA Austria;µg/m³;25.84607887;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60195;46.8138888884,15.2127777778;O3;EEA Austria;µg/m³;8.322;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60196;47.0402777772,14.33;O3;EEA Austria;µg/m³;87.918;2021-11-25T10:00:00+01:00;Austria
AT;Niederösterreich;AT31406;48.0833333328,16.3372222222;PM10;EEA Austria;µg/m³;29.5;2021-11-25T10:00:00+01:00;Austria
AT;Burgenland;AT10001;47.8399999995,16.52806;PM10;EEA Austria;µg/m³;26.56755065;2021-11-25T10:00:00+01:00;Austria
AT;Steiermark;AT60142;47.375555555,15.0745;SO2;EEA Austria;µg/m³;0.39574649;2021-11-25T10:00:00+01:00;Austria
